,Pclass,Age,Survived,Fare
0,3,22.0,0,7.25
1,1,38.0,1,65.6344
2,3,26.0,1,7.925
3,1,35.0,1,53.1
4,3,35.0,0,8.05
5,3,29.0,0,8.4583
6,1,54.0,0,51.8625
7,3,2.5,0,21.075
8,3,27.0,1,11.1333
9,2,14.0,1,30.0708
10,3,4.0,1,16.7
11,1,54.5,1,26.55
12,3,20.0,0,8.05
13,3,39.0,0,31.275
14,3,14.0,0,7.8542
15,2,54.5,1,16.0
16,3,2.5,0,29.125
17,2,29.0,1,13.0
18,3,31.0,0,18.0
19,3,29.0,1,7.225
20,2,35.0,0,26.0
21,2,34.0,1,13.0
22,3,15.0,1,8.0292
23,1,28.0,1,35.5
24,3,8.0,0,21.075
25,3,38.0,1,31.3875
26,3,29.0,0,7.225
27,1,19.0,0,65.6344
28,3,29.0,1,7.8792
29,3,29.0,0,7.8958
30,1,40.0,0,27.7208
31,1,29.0,1,65.6344
32,3,29.0,1,7.75
33,2,54.5,0,10.5
34,1,28.0,0,65.6344
35,1,42.0,0,52.0
36,3,29.0,1,7.2292
37,3,21.0,0,8.05
38,3,18.0,0,18.0
39,3,14.0,1,11.2417
40,3,40.0,0,9.475
41,2,27.0,0,21.0
42,3,29.0,0,7.8958
43,2,3.0,1,41.5792
44,3,19.0,1,7.8792
45,3,29.0,0,8.05
46,3,29.0,0,15.5
47,3,29.0,1,7.75
48,3,29.0,0,21.6792
49,3,18.0,0,17.8
50,3,7.0,0,39.6875
51,3,21.0,0,7.8
52,1,49.0,1,65.6344
53,2,29.0,1,26.0
54,1,54.5,0,61.9792
55,1,29.0,1,35.5
56,2,21.0,1,10.5
57,3,28.0,0,7.2292
58,2,5.0,1,27.75
59,3,11.0,0,46.9
60,3,22.0,0,7.2292
61,1,38.0,1,65.6344
62,1,45.0,0,65.6344
63,3,4.0,0,27.9
64,1,29.0,0,27.7208
65,3,29.0,1,15.2458
66,2,29.0,1,10.5
67,3,19.0,0,8.1583
68,3,17.0,1,7.925
69,3,26.0,0,8.6625
70,2,32.0,0,10.5
71,3,16.0,0,46.9
72,2,21.0,0,65.6344
73,3,26.0,0,14.4542
74,3,32.0,1,56.4958
75,3,25.0,0,7.65
76,3,29.0,0,7.8958
77,3,29.0,0,8.05
78,2,2.5,1,29.0
79,3,30.0,1,12.475
80,3,22.0,0,9.0
81,3,29.0,1,9.5
82,3,29.0,1,7.7875
83,1,28.0,0,47.1
84,2,17.0,1,10.5
85,3,33.0,1,15.85
86,3,16.0,0,34.375
87,3,29.0,0,8.05
88,1,23.0,1,65.6344
89,3,24.0,0,8.05
90,3,29.0,0,8.05
91,3,20.0,0,7.8542
92,1,46.0,0,61.175
93,3,26.0,0,20.575
94,3,54.5,0,7.25
95,3,29.0,0,8.05
96,1,54.5,0,34.6542
97,1,23.0,1,63.3583
98,2,34.0,1,23.0
99,2,34.0,0,26.0
100,3,28.0,0,7.8958
101,3,29.0,0,7.8958
102,1,21.0,0,65.6344
103,3,33.0,0,8.6542
104,3,37.0,0,7.925
105,3,28.0,0,7.8958
106,3,21.0,1,7.65
107,3,29.0,1,7.775
108,3,38.0,0,7.8958
109,3,29.0,1,24.15
110,1,47.0,0,52.0
111,3,14.0,0,14.4542
112,3,22.0,0,8.05
113,3,20.0,0,9.825
114,3,17.0,0,14.4583
115,3,21.0,0,7.925
116,3,54.5,0,7.75
117,2,29.0,0,21.0
118,1,24.0,0,65.6344
119,3,2.5,0,31.275
120,2,21.0,0,65.6344
121,3,29.0,0,8.05
122,2,32.0,0,30.0708
123,2,32.0,1,13.0
124,1,54.0,0,65.6344
125,3,12.0,1,11.2417
126,3,29.0,0,7.75
