,Pclass,Sex,Age,Embarked,Survived,Fare
0,3,male,22.0,S,0,7.25
1,1,female,38.0,C,1,65.6344
2,3,female,26.0,S,1,7.925
3,1,female,35.0,S,1,53.1
4,3,male,35.0,S,0,8.05
5,3,male,29.0,Q,0,8.4583
6,1,male,54.0,S,0,51.8625
7,3,male,2.5,S,0,21.075
8,3,female,27.0,S,1,11.1333
9,2,female,14.0,C,1,30.0708
10,3,female,4.0,S,1,16.7
11,1,female,54.5,S,1,26.55
12,3,male,20.0,S,0,8.05
13,3,male,39.0,S,0,31.275
14,3,female,14.0,S,0,7.8542
15,2,female,54.5,S,1,16.0
16,3,male,2.5,Q,0,29.125
17,2,male,29.0,S,1,13.0
18,3,female,31.0,S,0,18.0
19,3,female,29.0,C,1,7.225
20,2,male,35.0,S,0,26.0
21,2,male,34.0,S,1,13.0
22,3,female,15.0,Q,1,8.0292
23,1,male,28.0,S,1,35.5
24,3,female,8.0,S,0,21.075
25,3,female,38.0,S,1,31.3875
26,3,male,29.0,C,0,7.225
27,1,male,19.0,S,0,65.6344
28,3,female,29.0,Q,1,7.8792
29,3,male,29.0,S,0,7.8958
30,1,male,40.0,C,0,27.7208
31,1,female,29.0,C,1,65.6344
32,3,female,29.0,Q,1,7.75
33,2,male,54.5,S,0,10.5
34,1,male,28.0,C,0,65.6344
35,1,male,42.0,S,0,52.0
36,3,male,29.0,C,1,7.2292
37,3,male,21.0,S,0,8.05
38,3,female,18.0,S,0,18.0
39,3,female,14.0,C,1,11.2417
40,3,female,40.0,S,0,9.475
41,2,female,27.0,S,0,21.0
42,3,male,29.0,C,0,7.8958
43,2,female,3.0,C,1,41.5792
44,3,female,19.0,Q,1,7.8792
45,3,male,29.0,S,0,8.05
46,3,male,29.0,Q,0,15.5
47,3,female,29.0,Q,1,7.75
48,3,male,29.0,C,0,21.6792
49,3,female,18.0,S,0,17.8
50,3,male,7.0,S,0,39.6875
51,3,male,21.0,S,0,7.8
52,1,female,49.0,C,1,65.6344
53,2,female,29.0,S,1,26.0
54,1,male,54.5,C,0,61.9792
55,1,male,29.0,S,1,35.5
56,2,female,21.0,S,1,10.5
57,3,male,28.0,C,0,7.2292
58,2,female,5.0,S,1,27.75
59,3,male,11.0,S,0,46.9
60,3,male,22.0,C,0,7.2292
61,1,female,38.0,S,1,65.6344
62,1,male,45.0,S,0,65.6344
63,3,male,4.0,S,0,27.9
64,1,male,29.0,C,0,27.7208
65,3,male,29.0,C,1,15.2458
66,2,female,29.0,S,1,10.5
67,3,male,19.0,S,0,8.1583
68,3,female,17.0,S,1,7.925
69,3,male,26.0,S,0,8.6625
70,2,male,32.0,S,0,10.5
71,3,female,16.0,S,0,46.9
72,2,male,21.0,S,0,65.6344
73,3,male,26.0,C,0,14.4542
74,3,male,32.0,S,1,56.4958
75,3,male,25.0,S,0,7.65
76,3,male,29.0,S,0,7.8958
77,3,male,29.0,S,0,8.05
78,2,male,2.5,S,1,29.0
79,3,female,30.0,S,1,12.475
80,3,male,22.0,S,0,9.0
81,3,male,29.0,S,1,9.5
82,3,female,29.0,Q,1,7.7875
83,1,male,28.0,S,0,47.1
84,2,female,17.0,S,1,10.5
85,3,female,33.0,S,1,15.85
86,3,male,16.0,S,0,34.375
87,3,male,29.0,S,0,8.05
88,1,female,23.0,S,1,65.6344
89,3,male,24.0,S,0,8.05
90,3,male,29.0,S,0,8.05
91,3,male,20.0,S,0,7.8542
92,1,male,46.0,S,0,61.175
93,3,male,26.0,S,0,20.575
94,3,male,54.5,S,0,7.25
95,3,male,29.0,S,0,8.05
96,1,male,54.5,C,0,34.6542
97,1,male,23.0,C,1,63.3583
98,2,female,34.0,S,1,23.0
99,2,male,34.0,S,0,26.0
100,3,female,28.0,S,0,7.8958
101,3,male,29.0,S,0,7.8958
102,1,male,21.0,S,0,65.6344
103,3,male,33.0,S,0,8.6542
104,3,male,37.0,S,0,7.925
105,3,male,28.0,S,0,7.8958
106,3,female,21.0,S,1,7.65
107,3,male,29.0,S,1,7.775
108,3,male,38.0,S,0,7.8958
109,3,female,29.0,Q,1,24.15
110,1,male,47.0,S,0,52.0
111,3,female,14.0,C,0,14.4542
112,3,male,22.0,S,0,8.05
113,3,female,20.0,S,0,9.825
114,3,female,17.0,C,0,14.4583
115,3,male,21.0,S,0,7.925
116,3,male,54.5,Q,0,7.75
117,2,male,29.0,S,0,21.0
118,1,male,24.0,C,0,65.6344
119,3,female,2.5,S,0,31.275
120,2,male,21.0,S,0,65.6344
121,3,male,29.0,S,0,8.05
122,2,male,32.0,C,0,30.0708
123,2,female,32.0,S,1,13.0
124,1,male,54.0,S,0,65.6344
125,3,male,12.0,C,1,11.2417
126,3,male,29.0,Q,0,7.75
127,3,male,24.0,S,1,7.1417
128,3,female,29.0,C,1,22.3583
129,3,male,45.0,S,0,6.975
130,3,male,33.0,C,0,7.8958
131,3,male,20.0,S,0,7.05
132,3,female,47.0,S,0,14.5
133,2,female,29.0,S,1,26.0
134,2,male,25.0,S,0,13.0
135,2,male,23.0,C,0,15.0458
136,1,female,19.0,S,1,26.2833
137,1,male,37.0,S,0,53.1
138,3,male,16.0,S,0,9.2167
139,1,male,24.0,C,0,65.6344
140,3,female,29.0,C,0,15.2458
141,3,female,22.0,S,1,7.75
142,3,female,24.0,S,1,15.85
143,3,male,19.0,Q,0,6.75
144,2,male,18.0,S,0,11.5
145,2,male,19.0,S,0,36.75
146,3,male,27.0,S,1,7.7958
147,3,female,9.0,S,0,34.375
148,2,male,36.0,S,0,26.0
149,2,male,42.0,S,0,13.0
150,2,male,51.0,S,0,12.525
151,1,female,22.0,S,1,65.6344
152,3,male,54.5,S,0,8.05
153,3,male,40.0,S,0,14.5
154,3,male,29.0,S,0,7.3125
155,1,male,51.0,C,0,61.3792
156,3,female,16.0,Q,1,7.7333
157,3,male,30.0,S,0,8.05
158,3,male,29.0,S,0,8.6625
159,3,male,29.0,S,0,65.6344
160,3,male,44.0,S,0,16.1
161,2,female,40.0,S,1,15.75
162,3,male,26.0,S,0,7.775
163,3,male,17.0,S,0,8.6625
164,3,male,2.5,S,0,39.6875
165,3,male,9.0,S,1,20.525
166,1,female,29.0,S,1,55.0
167,3,female,45.0,S,0,27.9
168,1,male,29.0,S,0,25.925
169,3,male,28.0,S,0,56.4958
170,1,male,54.5,S,0,33.5
171,3,male,4.0,Q,0,29.125
172,3,female,2.5,S,1,11.1333
173,3,male,21.0,S,0,7.925
174,1,male,54.5,C,0,30.6958
175,3,male,18.0,S,0,7.8542
176,3,male,29.0,S,0,25.4667
177,1,female,50.0,C,0,28.7125
178,2,male,30.0,S,0,13.0
179,3,male,36.0,S,0,0.0
180,3,female,29.0,S,0,65.6344
181,2,male,29.0,C,0,15.05
182,3,male,9.0,S,0,31.3875
183,2,male,2.5,S,1,39.0
184,3,female,4.0,S,1,22.025
185,1,male,29.0,S,0,50.0
186,3,female,29.0,Q,1,15.5
187,1,male,45.0,S,1,26.55
188,3,male,40.0,Q,0,15.5
189,3,male,36.0,S,0,7.8958
190,2,female,32.0,S,1,13.0
191,2,male,19.0,S,0,13.0
192,3,female,19.0,S,1,7.8542
193,2,male,3.0,S,1,26.0
194,1,female,44.0,C,1,27.7208
195,1,female,54.5,C,1,65.6344
196,3,male,29.0,Q,0,7.75
197,3,male,42.0,S,0,8.4042
198,3,female,29.0,Q,1,7.75
199,2,female,24.0,S,0,13.0
200,3,male,28.0,S,0,9.5
201,3,male,29.0,S,0,65.6344
202,3,male,34.0,S,0,6.4958
203,3,male,45.0,C,0,7.225
204,3,male,18.0,S,1,8.05
205,3,female,2.5,S,0,10.4625
206,3,male,32.0,S,0,15.85
207,3,male,26.0,C,1,18.7875
208,3,female,16.0,Q,1,7.75
209,1,male,40.0,C,1,31.0
210,3,male,24.0,S,0,7.05
211,2,female,35.0,S,1,21.0
212,3,male,22.0,S,0,7.25
213,2,male,30.0,S,0,13.0
214,3,male,29.0,Q,0,7.75
215,1,female,31.0,C,1,65.6344
216,3,female,27.0,S,1,7.925
217,2,male,42.0,S,0,27.0
218,1,female,32.0,C,1,65.6344
219,2,male,30.0,S,0,10.5
220,3,male,16.0,S,1,8.05
221,2,male,27.0,S,0,13.0
222,3,male,51.0,S,0,8.05
223,3,male,29.0,S,0,7.8958
224,1,male,38.0,S,1,65.6344
225,3,male,22.0,S,0,9.35
226,2,male,19.0,S,1,10.5
227,3,male,20.0,S,0,7.25
228,2,male,18.0,S,0,13.0
229,3,female,29.0,S,0,25.4667
230,1,female,35.0,S,1,65.6344
231,3,male,29.0,S,0,7.775
232,2,male,54.5,S,0,13.5
233,3,female,5.0,S,1,31.3875
234,2,male,24.0,S,0,10.5
235,3,female,29.0,S,0,7.55
236,2,male,44.0,S,0,26.0
237,2,female,8.0,S,1,26.25
238,2,male,19.0,S,0,10.5
239,2,male,33.0,S,0,12.275
240,3,female,29.0,C,0,14.4542
241,3,female,29.0,Q,1,15.5
242,2,male,29.0,S,0,10.5
243,3,male,22.0,S,0,7.125
244,3,male,30.0,C,0,7.225
245,1,male,44.0,Q,0,65.6344
246,3,female,25.0,S,0,7.775
247,2,female,24.0,S,1,14.5
248,1,male,37.0,S,1,52.5542
249,2,male,54.0,S,0,26.0
250,3,male,29.0,S,0,7.25
251,3,female,29.0,S,0,10.4625
252,1,male,54.5,S,0,26.55
253,3,male,30.0,S,0,16.1
254,3,female,41.0,S,0,20.2125
255,3,female,29.0,C,1,15.2458
256,1,female,29.0,C,1,65.6344
257,1,female,30.0,S,1,65.6344
258,1,female,35.0,C,1,65.6344
259,2,female,50.0,S,1,26.0
260,3,male,29.0,Q,0,7.75
261,3,male,3.0,S,1,31.3875
262,1,male,52.0,S,0,65.6344
263,1,male,40.0,S,0,0.0
264,3,female,29.0,Q,0,7.75
265,2,male,36.0,S,0,10.5
266,3,male,16.0,S,0,39.6875
267,3,male,25.0,S,1,7.775
268,1,female,54.5,S,1,65.6344
269,1,female,35.0,S,1,65.6344
270,1,male,29.0,S,0,31.0
271,3,male,25.0,S,1,0.0
272,2,female,41.0,S,1,19.5
273,1,male,37.0,C,0,29.7
274,3,female,29.0,Q,1,7.75
275,1,female,54.5,S,1,65.6344
276,3,female,45.0,S,0,7.75
277,2,male,29.0,S,0,0.0
278,3,male,7.0,Q,0,29.125
279,3,female,35.0,S,1,20.25
280,3,male,54.5,Q,0,7.75
281,3,male,28.0,S,0,7.8542
282,3,male,16.0,S,0,9.5
283,3,male,19.0,S,1,8.05
284,1,male,29.0,S,0,26.0
285,3,male,33.0,C,0,8.6625
286,3,male,30.0,S,1,9.5
287,3,male,22.0,S,0,7.8958
288,2,male,42.0,S,1,13.0
289,3,female,22.0,Q,1,7.75
290,1,female,26.0,S,1,65.6344
291,1,female,19.0,C,1,65.6344
292,2,male,36.0,C,0,12.875
293,3,female,24.0,S,0,8.85
294,3,male,24.0,S,0,7.8958
295,1,male,29.0,C,0,27.7208
296,3,male,23.0,C,0,7.2292
297,1,female,2.5,S,0,65.6344
298,1,male,29.0,S,1,30.5
299,1,female,50.0,C,1,65.6344
300,3,female,29.0,Q,1,7.75
301,3,male,29.0,Q,1,23.25
302,3,male,19.0,S,0,0.0
303,2,female,29.0,Q,1,12.35
304,3,male,29.0,S,0,8.05
305,1,male,2.5,S,1,65.6344
306,1,female,29.0,C,1,65.6344
307,1,female,17.0,C,1,65.6344
308,2,male,30.0,C,0,24.0
309,1,female,30.0,C,1,56.9292
310,1,female,24.0,C,1,65.6344
311,1,female,18.0,C,1,65.6344
312,2,female,26.0,S,0,26.0
313,3,male,28.0,S,0,7.8958
314,2,male,43.0,S,0,26.25
315,3,female,26.0,S,1,7.8542
316,2,female,24.0,S,1,26.0
317,2,male,54.0,S,0,14.0
318,1,female,31.0,S,1,65.6344
319,1,female,40.0,C,1,65.6344
320,3,male,22.0,S,0,7.25
321,3,male,27.0,S,0,7.8958
322,2,female,30.0,Q,1,12.35
323,2,female,22.0,S,1,29.0
324,3,male,29.0,S,0,65.6344
325,1,female,36.0,C,1,65.6344
326,3,male,54.5,S,0,6.2375
327,2,female,36.0,S,1,13.0
328,3,female,31.0,S,1,20.525
329,1,female,16.0,C,1,57.9792
330,3,female,29.0,Q,1,23.25
331,1,male,45.0,S,0,28.5
332,1,male,38.0,S,0,65.6344
333,3,male,16.0,S,0,18.0
334,1,female,29.0,S,1,65.6344
335,3,male,29.0,S,0,7.8958
336,1,male,29.0,S,0,65.6344
337,1,female,41.0,C,1,65.6344
338,3,male,45.0,S,1,8.05
339,1,male,45.0,S,0,35.5
340,2,male,2.5,S,1,26.0
341,1,female,24.0,S,1,65.6344
342,2,male,28.0,S,0,13.0
343,2,male,25.0,S,0,13.0
344,2,male,36.0,S,0,13.0
345,2,female,24.0,S,1,13.0
346,2,female,40.0,S,1,13.0
347,3,female,29.0,S,1,16.1
348,3,male,3.0,S,1,15.9
349,3,male,42.0,S,0,8.6625
350,3,male,23.0,S,0,9.225
351,1,male,29.0,S,0,35.0
352,3,male,15.0,C,0,7.2292
353,3,male,25.0,S,0,17.8
354,3,male,29.0,C,0,7.225
355,3,male,28.0,S,0,9.5
356,1,female,22.0,S,1,55.0
357,2,female,38.0,S,0,13.0
358,3,female,29.0,Q,1,7.8792
359,3,female,29.0,Q,1,7.8792
360,3,male,40.0,S,0,27.9
361,2,male,29.0,C,0,27.7208
362,3,female,45.0,C,0,14.4542
363,3,male,35.0,S,0,7.05
364,3,male,29.0,Q,0,15.5
365,3,male,30.0,S,0,7.25
366,1,female,54.5,C,1,65.6344
367,3,female,29.0,C,1,7.2292
368,3,female,29.0,Q,1,7.75
369,1,female,24.0,C,1,65.6344
370,1,male,25.0,C,1,55.4417
371,3,male,18.0,S,0,6.4958
372,3,male,19.0,S,0,8.05
373,1,male,22.0,C,0,65.6344
374,3,female,3.0,S,0,21.075
375,1,female,29.0,C,1,65.6344
376,3,female,22.0,S,1,7.25
377,1,male,27.0,C,0,65.6344
378,3,male,20.0,C,0,4.0125
379,3,male,19.0,S,0,7.775
380,1,female,42.0,C,1,65.6344
381,3,female,2.5,C,1,15.7417
382,3,male,32.0,S,0,7.925
383,1,female,35.0,S,1,52.0
384,3,male,29.0,S,0,7.8958
385,2,male,18.0,S,0,65.6344
386,3,male,2.5,S,0,46.9
387,2,female,36.0,S,1,13.0
388,3,male,29.0,Q,0,7.7292
389,2,female,17.0,C,1,12.0
390,1,male,36.0,S,1,65.6344
391,3,male,21.0,S,1,7.7958
392,3,male,28.0,S,0,7.925
393,1,female,23.0,C,1,65.6344
394,3,female,24.0,S,1,16.7
395,3,male,22.0,S,0,7.7958
396,3,female,31.0,S,0,7.8542
397,2,male,46.0,S,0,26.0
398,2,male,23.0,S,0,10.5
399,2,female,28.0,S,1,12.65
400,3,male,39.0,S,1,7.925
401,3,male,26.0,S,0,8.05
402,3,female,21.0,S,0,9.825
403,3,male,28.0,S,0,15.85
404,3,female,20.0,S,0,8.6625
405,2,male,34.0,S,0,21.0
406,3,male,51.0,S,0,7.75
407,2,male,3.0,S,1,18.75
408,3,male,21.0,S,0,7.775
409,3,female,29.0,S,0,25.4667
410,3,male,29.0,S,0,7.8958
411,3,male,29.0,Q,0,6.8583
412,1,female,33.0,Q,1,65.6344
413,2,male,29.0,S,0,0.0
414,3,male,44.0,S,1,7.925
415,3,female,29.0,S,0,8.05
416,2,female,34.0,S,1,32.5
417,2,female,18.0,S,1,13.0
418,2,male,30.0,S,0,13.0
419,3,female,10.0,S,0,24.15
420,3,male,29.0,C,0,7.8958
421,3,male,21.0,Q,0,7.7333
422,3,male,29.0,S,0,7.875
423,3,female,28.0,S,0,14.4
424,3,male,18.0,S,0,20.2125
425,3,male,29.0,S,0,7.25
426,2,female,28.0,S,1,26.0
427,2,female,19.0,S,1,26.0
428,3,male,29.0,Q,0,7.75
429,3,male,32.0,S,1,8.05
430,1,male,28.0,S,1,26.55
431,3,female,29.0,S,1,16.1
